Date, Open, High, Low, Close
07/01/1998,1148.56,1148.56,1133.84,1148.56
09/01/1998,994.26,1000.71,939.98,994.26
10/01/1998,986.39,1017.01,981.25,986.39
12/01/1998,1175.28,1175.89,1150.31,1175.28
07/02/1998,1146.42,1148.56,1142.99,1146.42
09/02/1998,990.47,1013.19,988.4,990.47
10/02/1998,1002.6,1005.42,971.65,1002.6
11/02/1998,1111.6,1114.44,1098.67,1111.6
12/02/1998,1171.25,1175.28,1157.76,1171.25
08/03/1998,1112.44,1121.79,1110.39,1112.44
09/03/1998,982.26,990.47,969.32,982.26
11/03/1998,1110.84,1115.02,1106.42,1110.84
12/03/1998,1150.14,1176.99,1149.61,1150.14
08/04/1998,1072.12,1119.73,1071.82,1072.12
09/04/1998,973.89,991.41,956.5,973.89
11/04/1998,1118.67,1127.18,1110.59,1118.67
12/04/1998,1176.74,1176.74,1150.14,1176.74
08/05/1998,1081.43,1084.8,1057.35,1081.43
10/05/1998,988.56,1002.6,964.72,988.56
11/05/1998,1133.85,1133.88,1109.55,1133.85
07/06/1998,1157.33,1157.33,1145.03,1157.33
08/06/1998,1089.63,1090.95,1074.94,1089.63
10/06/1998,984.59,1008.77,974.81,984.59
11/06/1998,1141.01,1141.3,1131.18,1141.01
07/07/1998,1154.66,1159.81,1152.85,1154.66
08/07/1998,1089.45,1102.54,1084.72,1089.45
10/07/1998,970.68,995.66,957.15,970.68
12/07/1998,1187.7,1188.96,1176.71,1187.7
07/08/1998,1166.38,1166.89,1154.66,1166.38
09/08/1998,1023.46,1023.46,973.89,1023.46
10/08/1998,959.44,970.68,923.32,959.44
12/08/1998,1181.38,1193.53,1172.78,1181.38
07/09/1998,1158.56,1166.38,1156.03,1158.56
09/09/1998,1006.2,1027.72,1004.56,1006.2
10/09/1998,984.39,984.42,953.04,984.39
11/09/1998,1130.2,1141.01,1123.17,1130.2
12/09/1998,1183.49,1185.22,1175.89,1183.49
07/10/1998,1164.33,1166.93,1150.88,1164.33
08/10/1998,1083.14,1092.82,1081.76,1083.14
09/10/1998,980.19,1006.2,968.64,980.19
11/10/1998,1128.26,1135.37,1122.8,1128.26
12/10/1998,1165.02,1183.77,1163.75,1165.02
08/11/1998,1068.98,1083.14,1054,1068.98
09/11/1998,1009.06,1009.06,969.71,1009.06
11/11/1998,1120.97,1136.25,1117.4,1120.97
12/11/1998,1166.46,1167.89,1153.19,1166.46
08/12/1998,1084.22,1084.7,1068.98,1084.22
10/12/1998,997.71,1010.71,984.39,997.71
11/12/1998,1117.69,1126.57,1115.55,1117.69
02/01/1999,1273,1283.75,1271.31,1273
03/01/1999,1236.16,1238.7,1221.88,1236.16
04/01/1999,1293.72,1294.54,1282.56,1293.72
06/01/1999,1294.26,1301.84,1281.44,1294.26
07/01/1999,1380.96,1382.8,1360.8,1380.96
09/01/1999,1331.07,1331.18,1320.39,1331.07
10/01/1999,1282.81,1283.17,1265.78,1282.81
11/01/1999,1354.12,1367.3,1354.05,1354.12
12/01/1999,1397.72,1400.02,1387.48,1397.72
02/02/1999,1261.99,1273.49,1247.56,1261.99
03/02/1999,1225.5,1248.31,1221.87,1225.5
06/02/1999,1294.81,1297.1,1277.47,1294.81
07/02/1999,1391.22,1391.22,1379.57,1391.22
08/02/1999,1328.05,1344.69,1325.21,1328.05
09/02/1999,1319.11,1331.07,1304.88,1319.11
11/02/1999,1347.74,1369.32,1346.41,1347.74
12/02/1999,1409.04,1409.04,1397.72,1409.04
02/03/1999,1272.07,1276.04,1255.27,1272.07
03/03/1999,1227.7,1231.63,1216.03,1227.7
05/03/1999,1354.63,1354.63,1329.01,1354.63
06/03/1999,1299.54,1304.15,1294.2,1299.54
08/03/1999,1322.18,1336.13,1314.91,1322.18
09/03/1999,1357.24,1357.74,1319.11,1357.24
11/03/1999,1354.93,1360.33,1347.74,1354.93
12/03/1999,1433.3,1447.54,1409.04,1433.3
01/04/1999,1228.1,1248.81,1219.1,1228.1
02/04/1999,1248.49,1272.23,1248.36,1248.49
03/04/1999,1246.64,1247.74,1227.7,1246.64
05/04/1999,1332,1354.64,1330.64,1332
06/04/1999,1327.75,1327.75,1299.54,1327.75
08/04/1999,1305.33,1330.16,1304.5,1305.33
10/04/1999,1304.6,1304.6,1282.81,1304.6
11/04/1999,1362.64,1369.41,1354.93,1362.64
01/05/1999,1244.78,1246.11,1228.1,1244.78
02/05/1999,1239.4,1251.86,1232.28,1239.4
03/05/1999,1275.47,1275.73,1246.64,1275.47
04/05/1999,1321.12,1321.21,1293.72,1321.12
05/05/1999,1347.31,1347.32,1317.44,1347.31
08/05/1999,1313.71,1313.71,1287.23,1313.71
10/05/1999,1301.35,1316.41,1286.44,1301.35
11/05/1999,1370.23,1387.48,1362.64,1370.23
01/06/1999,1272.34,1272.5,1244.78,1272.34
04/06/1999,1317.89,1326.76,1311.07,1317.89
05/06/1999,1332.05,1348.36,1322.56,1332.05
07/06/1999,1388.12,1405.29,1387.08,1388.12
08/06/1999,1300.29,1316.74,1293.19,1300.29
10/06/1999,1325.4,1325.46,1300.38,1325.4
12/06/1999,1423.33,1434.19,1418.25,1423.33
01/07/1999,1269.73,1272.34,1257.68,1269.73
04/07/1999,1326.89,1329.58,1312.59,1326.89
05/07/1999,1345,1345.99,1332.05,1345
06/07/1999,1334.52,1336.42,1325.89,1334.52
07/07/1999,1395.86,1395.88,1384.95,1395.86
09/07/1999,1350.45,1361.35,1349.56,1350.45
10/07/1999,1317.64,1328.05,1314.13,1317.64
12/07/1999,1409.17,1426.6,1409.17,1409.17
01/08/1999,1275.09,1278.24,1261.82,1275.09
02/08/1999,1243.77,1246.93,1231.98,1243.77
03/08/1999,1282.73,1282.74,1271.58,1282.73
04/08/1999,1343.98,1344.08,1321.6,1343.98
06/08/1999,1317.33,1334.52,1312.83,1317.33
07/08/1999,1394.42,1403.25,1386.69,1394.42
09/08/1999,1344.15,1355.18,1337.37,1344.15
10/08/1999,1336.02,1336.61,1311.88,1336.02
11/08/1999,1377.01,1380.78,1365.87,1377.01
12/08/1999,1403.88,1415.65,1403.8,1403.88
02/09/1999,1216.14,1243.97,1215.63,1216.14
03/09/1999,1279.84,1293.74,1275.11,1279.84
04/09/1999,1348.35,1351.22,1335.24,1348.35
06/09/1999,1318.64,1326.01,1314.73,1318.64
07/09/1999,1403.28,1403.28,1394.42,1403.28
08/09/1999,1297.8,1306.68,1295.99,1297.8
09/09/1999,1347.66,1347.66,1333.94,1347.66
11/09/1999,1365.28,1383.81,1361.45,1365.28
12/09/1999,1408.11,1408.11,1408.11,1408.11
02/10/1999,1223.55,1226.78,1211.89,1223.55
03/10/1999,1286.84,1287.02,1275.16,1286.84
05/10/1999,1340.3,1352.01,1334,1340.3
06/10/1999,1302.82,1318.64,1293.28,1302.82
08/10/1999,1281.43,1298.62,1267.73,1281.43
09/10/1999,1351.66,1357.71,1346.08,1351.66
11/10/1999,1373.46,1379.18,1359.98,1373.46
12/10/1999,1417.04,1421.58,1405.57,1417.04
01/11/1999,1263.88,1276.22,1253.34,1263.88
02/11/1999,1254.04,1254.05,1223.19,1254.04
03/11/1999,1297.68,1305.43,1286.84,1297.68
05/11/1999,1355.61,1360,1340.3,1355.61
06/11/1999,1293.64,1311.97,1287.88,1293.64
08/11/1999,1301.93,1301.94,1281.43,1301.93
10/11/1999,1335.21,1344.26,1324.4,1335.21
11/11/1999,1381.46,1382.12,1372.19,1381.46
01/12/1999,1239.51,1264.45,1238.29,1239.51
02/12/1999,1230.13,1254.04,1225.53,1230.13
03/12/1999,1294.59,1304.42,1289.17,1294.59
04/12/1999,1358.64,1358.69,1333.48,1358.64
05/12/1999,1364,1367.36,1333.1,1364
07/12/1999,1399.1,1406.82,1394.7,1399.1
08/12/1999,1298.16,1313.59,1298.1,1298.16
10/12/1999,1313.04,1335.21,1311.8,1313.04
11/12/1999,1396.06,1396.12,1368.54,1396.06
02/01/2000,1409.28,1412.59,1384.75,1409.28
03/01/2000,1379.19,1383,1366.42,1379.19
05/01/2000,1468.25,1481.43,1452.43,1468.25
06/01/2000,1448.81,1448.81,1420.6,1448.81
08/01/2000,1438.1,1443.52,1428.84,1438.1
09/01/2000,1520.77,1530.01,1515.6,1520.77
11/01/2000,1421.22,1429.6,1410.45,1421.22
12/01/2000,1315.23,1334.67,1307.02,1315.23
02/02/2000,1409.12,1420.53,1403.2,1409.12
03/02/2000,1381.76,1386.91,1370.32,1381.76
05/02/2000,1446.29,1468.25,1445.14,1446.29
06/02/2000,1477.26,1483.43,1448.81,1477.26
08/02/2000,1438.7,1451.58,1433.54,1438.7
10/02/2000,1436.23,1445.51,1429.75,1436.23
11/02/2000,1428.32,1433.27,1421.13,1428.32
01/03/2000,1455.22,1478,1438.36,1455.22
02/03/2000,1424.97,1426.06,1398.54,1424.97
03/03/2000,1409.17,1410.88,1381.76,1409.17
04/03/2000,1505.97,1507.08,1487.09,1505.97
05/03/2000,1415.1,1446.29,1398.36,1415.1
07/03/2000,1469.54,1469.83,1450.79,1469.54
08/03/2000,1452.56,1454.35,1426.05,1452.56
10/03/2000,1426.46,1454.82,1425.28,1426.46
11/03/2000,1426.69,1433.21,1420.92,1426.69
01/04/2000,1399.42,1455.22,1397.43,1399.42
02/04/2000,1424.37,1436.01,1420.53,1424.37
04/04/2000,1494.73,1526.22,1417.22,1494.73
05/04/2000,1409.57,1420.51,1404.98,1409.57
08/04/2000,1462.93,1462.93,1451.46,1462.93
10/04/2000,1434.32,1439.99,1416.31,1434.32
12/04/2000,1324.97,1332.06,1310.23,1324.97
01/05/2000,1402.11,1413.27,1377.68,1402.11
04/05/2000,1487.37,1506.55,1478.06,1487.37
05/05/2000,1432.63,1435.87,1405.16,1432.63
06/05/2000,1467.63,1477.26,1464.67,1467.63
07/05/2000,1446.23,1469.54,1442.48,1446.23
09/05/2000,1507.08,1520.77,1504.21,1507.08
10/05/2000,1436.28,1444.17,1431.8,1436.28
12/05/2000,1376.54,1376.56,1324.97,1376.54
01/06/2000,1403.45,1411.9,1392.02,1403.45
03/06/2000,1391.28,1409.81,1384.79,1391.28
04/06/2000,1501.34,1511.76,1487.37,1501.34
06/06/2000,1457.84,1471.32,1454.78,1457.84
07/06/2000,1456.67,1461.65,1439.6,1456.67
09/06/2000,1492.25,1512.37,1492.19,1492.25
10/06/2000,1408.99,1443.3,1397.06,1408.99
11/06/2000,1432.19,1438.46,1427.72,1432.19
12/06/2000,1351.46,1376.54,1346.15,1351.46
01/07/2000,1441.47,1441.47,1400.53,1441.47
02/07/2000,1424.24,1427.23,1413.33,1424.24
03/07/2000,1355.62,1399.57,1349.6,1355.62
04/07/2000,1516.35,1518.48,1501.34,1516.35
06/07/2000,1471.36,1474.57,1455.22,1471.36
07/07/2000,1478.9,1485.15,1456.67,1478.9
08/07/2000,1479.32,1480.89,1460.79,1479.32
09/07/2000,1502.51,1505.23,1492.25,1502.51
11/07/2000,1431.87,1436.22,1423.26,1431.87
12/07/2000,1343.55,1353.5,1339.26,1343.55
02/08/2000,1441.72,1442.02,1424.24,1441.72
03/08/2000,1366.7,1373.59,1346.5,1366.7
05/08/2000,1424.17,1432.63,1416.92,1424.17
06/08/2000,1461.67,1475.64,1456.47,1461.67
08/08/2000,1482.8,1484.52,1472.61,1482.8
09/08/2000,1494.5,1502.51,1489.93,1494.5
11/08/2000,1409.28,1437.28,1408.78,1409.28
12/08/2000,1369.89,1380.33,1343.55,1369.89
02/09/2000,1411.7,1444.38,1411.64,1411.7
03/09/2000,1401.69,1401.82,1357.85,1401.69
05/09/2000,1412.14,1429.81,1401.86,1412.14
06/09/2000,1456.95,1472.66,1454.88,1456.95
08/09/2000,1472.87,1490.33,1471.16,1472.87
10/09/2000,1402.03,1409.69,1392.48,1402.03
11/09/2000,1400.14,1409.28,1369.68,1400.14
01/10/2000,1457.6,1464.36,1441.47,1457.6
02/10/2000,1416.83,1422.01,1406.37,1416.83
03/10/2000,1395.07,1413.38,1392.07,1395.07
04/10/2000,1504.46,1527.11,1503.02,1504.46
05/10/2000,1383.05,1412.14,1375.21,1383.05
07/10/2000,1475.62,1486.5,1474.73,1475.62
08/10/2000,1460.25,1475.15,1459.89,1460.25
10/10/2000,1387.02,1408.83,1383.85,1387.02
11/10/2000,1365.98,1400.14,1365.97,1365.98
01/11/2000,1438.56,1458.85,1434.42,1438.56
02/11/2000,1387.12,1416.95,1379.15,1387.12
04/11/2000,1500.59,1512.8,1486.88,1500.59
05/11/2000,1407.81,1410.25,1383.05,1407.81
07/11/2000,1480.88,1488.88,1470.47,1480.88
08/11/2000,1471.84,1475.6,1452.91,1471.84
09/11/2000,1489.26,1506.59,1483.03,1489.26
10/11/2000,1364.59,1387.02,1349.67,1364.59
12/11/2000,1380.2,1389.05,1364.14,1380.2
01/12/2000,1432.25,1445.29,1427.32,1432.25
04/12/2000,1467.17,1510.59,1466.15,1467.17
05/12/2000,1420.96,1430.2,1407.81,1420.96
06/12/2000,1446,1463.01,1445.99,1446
07/12/2000,1492.92,1497.48,1480.88,1492.92
09/12/2000,1481.99,1496.6,1479.93,1481.99
10/12/2000,1329.78,1374.93,1329.06,1329.78
12/12/2000,1371.18,1380.27,1370.27,1371.18
02/01/2001,1373.47,1373.5,1359.34,1373.47
03/01/2001,1241.23,1241.36,1214.5,1241.23
05/01/2001,1266.44,1266.47,1243.55,1266.44
06/01/2001,1260.67,1265.34,1246.88,1260.67
08/01/2001,1215.93,1223.04,1211.23,1215.93
10/01/2001,1038.55,1040.94,1026.76,1038.55
11/01/2001,1084.1,1085.61,1054.31,1084.1
01/02/2001,1283.27,1320.28,1276.05,1283.27
02/02/2001,1349.47,1376.38,1348.72,1349.47
03/02/2001,1234.18,1251.01,1219.74,1234.18
04/02/2001,1145.87,1169.51,1137.51,1145.87
05/02/2001,1267.43,1272.93,1257.7,1267.43
07/02/2001,1236.71,1239.78,1224.03,1236.71
08/02/2001,1220.75,1226.27,1215.31,1220.75
10/02/2001,1051.33,1051.33,1034.47,1051.33
11/02/2001,1087.2,1089.63,1075.58,1087.2
01/03/2001,1347.56,1347.76,1274.62,1347.56
04/03/2001,1106.46,1145.87,1100.19,1106.46
05/03/2001,1248.58,1267.43,1239.88,1248.58
07/03/2001,1234.45,1236.71,1229.43,1234.45
08/03/2001,1214.35,1220.75,1205.31,1214.35
10/03/2001,1072.28,1075.38,1041.48,1072.28
12/03/2001,1129.9,1139.45,1125.78,1129.9
01/04/2001,1333.34,1350.24,1329.14,1333.34
04/04/2001,1103.25,1117.5,1091.99,1103.25
05/04/2001,1266.61,1267.51,1232,1266.61
06/04/2001,1267.11,1267.17,1256.36,1267.11
09/04/2001,1132.94,1155.4,1129.06,1132.94
10/04/2001,1069.63,1084.12,1067.82,1069.63
12/04/2001,1144.8,1144.8,1128.86,1144.8
01/05/2001,1298.35,1334.77,1294.95,1298.35
02/05/2001,1354.31,1354.56,1344.48,1354.31
03/05/2001,1241.41,1242.55,1234.04,1241.41
04/05/2001,1151.44,1151.47,1103.25,1151.44
06/05/2001,1283.57,1286.62,1267.11,1283.57
07/05/2001,1219.24,1234.45,1219.15,1219.24
09/05/2001,1131.74,1135.52,1114.86,1131.74
10/05/2001,1071.38,1072.35,1053.5,1071.38
11/05/2001,1102.84,1106.72,1087.2,1102.84
12/05/2001,1170.35,1173.62,1143.77,1170.35
02/06/2001,1352.26,1363.55,1350.04,1352.26
03/06/2001,1253.8,1267.42,1241.41,1253.8
04/06/2001,1128.43,1151.44,1119.29,1128.43
06/06/2001,1270.03,1283.85,1269.03,1270.03
07/06/2001,1190.59,1219.24,1188.74,1190.59
08/06/2001,1200.48,1214.35,1197.35,1200.48
09/06/2001,1106.4,1131.74,1105.83,1106.4
11/06/2001,1118.86,1119.73,1095.36,1118.86
12/06/2001,1167.1,1173.35,1164.43,1167.1
02/07/2001,1340.89,1352.26,1334.26,1340.89
03/07/2001,1261.89,1263.86,1253.8,1261.89
05/07/2001,1263.51,1270,1259.19,1263.51
06/07/2001,1276.96,1277.08,1265.08,1276.96
08/07/2001,1204.4,1207.56,1195.64,1204.4
09/07/2001,1085.78,1106.4,1082.12,1085.78
11/07/2001,1115.8,1126.62,1112.98,1115.8
12/07/2001,1158.31,1167.1,1152.66,1158.31
01/08/2001,1295.86,1298.35,1276.29,1295.86
02/08/2001,1332.53,1350.32,1332.42,1332.53
03/08/2001,1264.74,1266.5,1257.6,1264.74
05/08/2001,1261.2,1267.01,1253,1261.2
06/08/2001,1264.96,1277.11,1259.99,1264.96
08/08/2001,1183.53,1206.79,1181.27,1183.53
10/08/2001,1062.44,1071.37,1056.88,1062.44
11/08/2001,1118.54,1135.75,1115.42,1118.54
01/09/2001,1300.8,1311.72,1295.14,1300.8
02/09/2001,1314.76,1332.53,1309.98,1314.76
03/09/2001,1233.42,1264.74,1228.42,1233.42
04/09/2001,1137.59,1146.13,1126.38,1137.59
05/09/2001,1255.54,1261.65,1247.83,1255.54
07/09/2001,1198.78,1201.76,1189.75,1198.78
08/09/2001,1183.43,1184.71,1174.68,1183.43
10/09/2001,1056.75,1063.37,1053.83,1056.75
